timestamp,x,y,cs_x,cs_y
1762729776.024903,-0.190570,1.075514,0.099084,3.263074
1762729776.076787,-0.190570,1.075514,0.100106,3.263140
1762729776.125288,-0.191151,1.111437,0.100186,3.257466
1762729776.174790,-0.188617,1.135744,0.100341,3.259271
1762729776.226492,-0.183840,1.141522,0.101126,3.258304
1762729776.274571,-0.182246,1.159084,0.098723,3.257076
1762729776.323957,-0.175056,1.185251,0.097709,3.264034
1762729776.374170,-0.170372,1.193276,0.100287,3.249768
1762729776.424161,-0.170372,1.193276,0.096782,3.266914
1762729776.474606,-0.159295,1.216623,0.098098,3.270819
1762729776.524889,-0.143051,1.235515,0.101037,3.275189
1762729776.574238,-0.137772,1.246171,0.098913,3.264757
1762729776.624593,-0.126972,1.253717,0.097761,3.258238
1762729776.674160,-0.109862,1.274828,0.100252,3.256684
1762729776.725801,-0.093022,1.281495,0.097908,3.262899
1762729776.774083,-0.070312,1.294999,0.098369,3.258486
1762729776.824296,-0.060364,1.303373,0.096976,3.258385
1762729776.874204,-0.040894,1.311367,0.095312,3.265507
1762729776.924131,-0.028176,1.318071,0.099249,3.257133
1762729776.974040,-0.005969,1.318033,0.099474,3.266148
1762729777.024014,-0.001428,1.322047,0.096133,3.264759
1762729777.074112,0.019435,1.325685,0.096471,3.254847
1762729777.124145,0.029806,1.325201,0.098172,3.261384
1762729777.174065,0.050809,1.323547,0.099843,3.263795
1762729777.225937,0.059687,1.323499,0.098968,3.252343
1762729777.274117,0.069896,1.326696,0.097751,3.267534
1762729777.324066,0.090702,1.321982,0.099384,3.258944
1762729777.374262,0.102502,1.313783,0.099507,3.257188
1762729777.424841,0.113688,1.312874,0.099152,3.261104
1762729777.474038,0.134642,1.310674,0.097954,3.253114
1762729777.527880,0.149362,1.305678,0.099127,3.259329
1762729777.575353,0.174914,1.291479,0.098930,3.254561
1762729777.624033,0.184004,1.292622,0.097242,3.253626
1762729777.677767,0.199274,1.282393,0.099852,3.255126
1762729777.725916,0.226132,1.265886,0.102725,3.246809
1762729777.776283,0.236689,1.254963,0.098048,3.263894
1762729777.824057,0.263699,1.240745,0.100445,3.257144
1762729777.874292,0.263699,1.240745,0.096362,3.263350
1762729777.924014,0.287618,1.224222,0.099793,3.261218
1762729777.973975,0.315359,1.180285,0.098151,3.261661
1762729778.026104,0.315359,1.180285,0.099738,3.260743
1762729778.074828,0.342704,1.146689,0.096716,3.265515
1762729778.124058,0.342704,1.146689,0.101122,3.245449
